"MTU","Out Area","In Area","Physical Flow (MW)"
"17/10/2025 05:00:00 - 17/10/2025 06:00:00","Germany (DE)","Belgium (BE)","0.00"
"17/10/2025 05:00:00 - 17/10/2025 06:00:00","Belgium (BE)","Luxembourg (LU)","38.23"
"17/10/2025 05:00:00 - 17/10/2025 06:00:00","Luxembourg (LU)","Belgium (BE)","0.00"
"17/10/2025 05:00:00 - 17/10/2025 06:00:00","Belgium (BE)","Netherlands (NL)","0.00"
"17/10/2025 05:00:00 - 17/10/2025 06:00:00","Netherlands (NL)","Belgium (BE)","2279.83"
"17/10/2025 05:00:00 - 17/10/2025 06:00:00","Belgium (BE)","United Kingdom (UK)","412.94"
"17/10/2025 05:00:00 - 17/10/2025 06:00:00","United Kingdom (UK)","Belgium (BE)","0.00"
"17/10/2025 06:00:00 - 17/10/2025 07:00:00","Belgium (BE)","France (FR)","0.00"
"17/10/2025 06:00:00 - 17/10/2025 07:00:00","France (FR)","Belgium (BE)","1235.81"
"17/10/2025 06:00:00 - 17/10/2025 07:00:00","Belgium (BE)","Germany (DE)","802.87"
"17/10/2025 06:00:00 - 17/10/2025 07:00:00","Germany (DE)","Belgium (BE)","0.00"
"17/10/2025 06:00:00 - 17/10/2025 07:00:00","Belgium (BE)","Luxembourg (LU)","102.87"
"17/10/2025 06:00:00 - 17/10/2025 07:00:00","Luxembourg (LU)","Belgium (BE)","0.00"
"17/10/2025 06:00:00 - 17/10/2025 07:00:00","Belgium (BE)","Netherlands (NL)","0.00"
"17/10/2025 06:00:00 - 17/10/2025 07:00:00","Netherlands (NL)","Belgium (BE)","1920.90"
"17/10/2025 06:00:00 - 17/10/2025 07:00:00","Belgium (BE)","United Kingdom (UK)","197.54"
"17/10/2025 06:00:00 - 17/10/2025 07:00:00","United Kingdom (UK)","Belgium (BE)","0.00"
"17/10/2025 07:00:00 - 17/10/2025 08:00:00","Belgium (BE)","France (FR)","0.00"
"17/10/2025 07:00:00 - 17/10/2025 08:00:00","France (FR)","Belgium (BE)","1562.00"
"17/10/2025 07:00:00 - 17/10/2025 08:00:00","Belgium (BE)","Germany (DE)","421.30"
"17/10/2025 07:00:00 - 17/10/2025 08:00:00","Germany (DE)","Belgium (BE)","0.00"
"17/10/2025 07:00:00 - 17/10/2025 08:00:00","Belgium (BE)","Luxembourg (LU)","127.47"
"17/10/2025 07:00:00 - 17/10/2025 08:00:00","Luxembourg (LU)","Belgium (BE)","0.00"
"17/10/2025 07:00:00 - 17/10/2025 08:00:00","Belgium (BE)","Netherlands (NL)","0.00"
"17/10/2025 07:00:00 - 17/10/2025 08:00:00","Netherlands (NL)","Belgium (BE)","1170.25"
"17/10/2025 07:00:00 - 17/10/2025 08:00:00","Belgium (BE)","United Kingdom (UK)","0.00"
"17/10/2025 07:00:00 - 17/10/2025 08:00:00","United Kingdom (UK)","Belgium (BE)","509.00"
"17/10/2025 08:00:00 - 17/10/2025 09:00:00","Belgium (BE)","France (FR)","0.00"
"17/10/2025 08:00:00 - 17/10/2025 09:00:00","France (FR)","Belgium (BE)","1366.74"
"17/10/2025 08:00:00 - 17/10/2025 09:00:00","Belgium (BE)","Germany (DE)","607.55"
"17/10/2025 08:00:00 - 17/10/2025 09:00:00","Germany (DE)","Belgium (BE)","0.00"
"17/10/2025 08:00:00 - 17/10/2025 09:00:00","Belgium (BE)","Luxembourg (LU)","104.65"
"17/10/2025 08:00:00 - 17/10/2025 09:00:00","Luxembourg (LU)","Belgium (BE)","0.00"
"17/10/2025 08:00:00 - 17/10/2025 09:00:00","Belgium (BE)","Netherlands (NL)","0.00"
"17/10/2025 08:00:00 - 17/10/2025 09:00:00","Netherlands (NL)","Belgium (BE)","1072.98"
"17/10/2025 08:00:00 - 17/10/2025 09:00:00","Belgium (BE)","United Kingdom (UK)","0.00"
"17/10/2025 08:00:00 - 17/10/2025 09:00:00","United Kingdom (UK)","Belgium (BE)","541.70"
"17/10/2025 09:00:00 - 17/10/2025 10:00:00","Belgium (BE)","France (FR)","0.00"
"17/10/2025 09:00:00 - 17/10/2025 10:00:00","France (FR)","Belgium (BE)","1159.38"
"17/10/2025 09:00:00 - 17/10/2025 10:00:00","Belgium (BE)","Germany (DE)","765.04"
"17/10/2025 09:00:00 - 17/10/2025 10:00:00","Germany (DE)","Belgium (BE)","0.00"
"17/10/2025 09:00:00 - 17/10/2025 10:00:00","Belgium (BE)","Luxembourg (LU)","0.00"
"17/10/2025 09:00:00 - 17/10/2025 10:00:00","Luxembourg (LU)","Belgium (BE)","11.54"
"17/10/2025 09:00:00 - 17/10/2025 10:00:00","Belgium (BE)","Netherlands (NL)","0.00"
"17/10/2025 09:00:00 - 17/10/2025 10:00:00","Netherlands (NL)","Belgium (BE)","1437.07"
"17/10/2025 09:00:00 - 17/10/2025 10:00:00","Belgium (BE)","United Kingdom (UK)","0.00"
"17/10/2025 09:00:00 - 17/10/2025 10:00:00","United Kingdom (UK)","Belgium (BE)","426.03"
"17/10/2025 10:00:00 - 17/10/2025 11:00:00","Belgium (BE)","France (FR)","0.00"
"17/10/2025 10:00:00 - 17/10/2025 11:00:00","France (FR)","Belgium (BE)","1995.38"
"17/10/2025 10:00:00 - 17/10/2025 11:00:00","Belgium (BE)","Germany (DE)","996.88"
"17/10/2025 10:00:00 - 17/10/2025 11:00:00","Germany (DE)","Belgium (BE)","0.00"
"17/10/2025 10:00:00 - 17/10/2025 11:00:00","Belgium (BE)","Luxembourg (LU)","0.00"
"17/10/2025 10:00:00 - 17/10/2025 11:00:00","Luxembourg (LU)","Belgium (BE)","91.30"
"17/10/2025 10:00:00 - 17/10/2025 11:00:00","Belgium (BE)","Netherlands (NL)","0.00"
"17/10/2025 10:00:00 - 17/10/2025 11:00:00","Netherlands (NL)","Belgium (BE)","2773.99"
"17/10/2025 10:00:00 - 17/10/2025 11:00:00","Belgium (BE)","United Kingdom (UK)","918.22"
"17/10/2025 10:00:00 - 17/10/2025 11:00:00","United Kingdom (UK)","Belgium (BE)","0.00"
"17/10/2025 11:00:00 - 17/10/2025 12:00:00","Belgium (BE)","France (FR)","0.00"
"17/10/2025 11:00:00 - 17/10/2025 12:00:00","France (FR)","Belgium (BE)","2031.25"
"17/10/2025 11:00:00 - 17/10/2025 12:00:00","Belgium (BE)","Germany (DE)","915.04"
"17/10/2025 11:00:00 - 17/10/2025 12:00:00","Germany (DE)","Belgium (BE)","0.00"
"17/10/2025 11:00:00 - 17/10/2025 12:00:00","Belgium (BE)","Luxembourg (LU)","0.00"
"17/10/2025 11:00:00 - 17/10/2025 12:00:00","Luxembourg (LU)","Belgium (BE)","93.65"
"17/10/2025 11:00:00 - 17/10/2025 12:00:00","Belgium (BE)","Netherlands (NL)","0.00"
"17/10/2025 11:00:00 - 17/10/2025 12:00:00","Netherlands (NL)","Belgium (BE)","2789.52"
"17/10/2025 11:00:00 - 17/10/2025 12:00:00","Belgium (BE)","United Kingdom (UK)","734.11"
"17/10/2025 11:00:00 - 17/10/2025 12:00:00","United Kingdom (UK)","Belgium (BE)","0.00"
"17/10/2025 12:00:00 - 17/10/2025 13:00:00","Belgium (BE)","France (FR)","0.00"
"17/10/2025 12:00:00 - 17/10/2025 13:00:00","France (FR)","Belgium (BE)","1963.52"
"17/10/2025 12:00:00 - 17/10/2025 13:00:00","Belgium (BE)","Germany (DE)","951.62"
"17/10/2025 12:00:00 - 17/10/2025 13:00:00","Germany (DE)","Belgium (BE)","0.00"
"17/10/2025 12:00:00 - 17/10/2025 13:00:00","Belgium (BE)","Luxembourg (LU)","0.00"
