"MTU (CET/CEST)","Area","Actual Total Load (MW)","Day-ahead Total Load Forecast (MW)"
"14/10/2025 17:30 - 14/10/2025 17:45","Belgium (BE)","10035.00","10170.48"
"14/10/2025 17:45 - 14/10/2025 18:00","Belgium (BE)","10006.94","10232.20"
"14/10/2025 18:00 - 14/10/2025 18:15","Belgium (BE)","9901.36","10352.40"
"14/10/2025 18:15 - 14/10/2025 18:30","Belgium (BE)","9806.12","10376.36"
"14/10/2025 18:30 - 14/10/2025 18:45","Belgium (BE)","9795.54","10366.05"
"14/10/2025 18:45 - 14/10/2025 19:00","Belgium (BE)","9894.77","10302.15"
"14/10/2025 19:00 - 14/10/2025 19:15","Belgium (BE)","9934.55","10467.88"
"14/10/2025 19:15 - 14/10/2025 19:30","Belgium (BE)","9901.84","10455.10"
"14/10/2025 19:30 - 14/10/2025 19:45","Belgium (BE)","9852.13","10435.40"
"14/10/2025 19:45 - 14/10/2025 20:00","Belgium (BE)","9750.06","10399.72"
"14/10/2025 20:00 - 14/10/2025 20:15","Belgium (BE)","9631.33","10172.36"
"14/10/2025 20:15 - 14/10/2025 20:30","Belgium (BE)","9505.88","10044.90"
"14/10/2025 20:30 - 14/10/2025 20:45","Belgium (BE)","9389.04","9978.62"
"14/10/2025 20:45 - 14/10/2025 21:00","Belgium (BE)","9260.32","9931.97"
"14/10/2025 21:00 - 14/10/2025 21:15","Belgium (BE)","9146.26","9684.39"
"14/10/2025 21:15 - 14/10/2025 21:30","Belgium (BE)","8988.64","9564.53"
"14/10/2025 21:30 - 14/10/2025 21:45","Belgium (BE)","8900.30","9455.68"
"14/10/2025 21:45 - 14/10/2025 22:00","Belgium (BE)","8791.62","9403.13"
"14/10/2025 22:00 - 14/10/2025 22:15","Belgium (BE)","8576.37","9243.36"
"14/10/2025 22:15 - 14/10/2025 22:30","Belgium (BE)","8591.57","9217.65"
"14/10/2025 22:30 - 14/10/2025 22:45","Belgium (BE)","8511.68","9105.03"
"14/10/2025 22:45 - 14/10/2025 23:00","Belgium (BE)","8399.56","9019.59"
"14/10/2025 23:00 - 14/10/2025 23:15","Belgium (BE)","8460.55","8801.56"
"14/10/2025 23:15 - 14/10/2025 23:30","Belgium (BE)","8376.97","8652.01"
"14/10/2025 23:30 - 14/10/2025 23:45","Belgium (BE)","8257.57","8575.45"
"14/10/2025 23:45 - 15/10/2025 00:00","Belgium (BE)","8142.13","8495.31"
"15/10/2025 00:00 - 15/10/2025 00:15","Belgium (BE)","8121.80","8373.21"
"15/10/2025 00:15 - 15/10/2025 00:30","Belgium (BE)","8028.02","8241.74"
"15/10/2025 00:30 - 15/10/2025 00:45","Belgium (BE)","8113.27","8170.35"
"15/10/2025 00:45 - 15/10/2025 01:00","Belgium (BE)","7958.07","8138.88"
"15/10/2025 01:00 - 15/10/2025 01:15","Belgium (BE)","7955.41","8035.57"
"15/10/2025 01:15 - 15/10/2025 01:30","Belgium (BE)","8033.99","7948.15"
"15/10/2025 01:30 - 15/10/2025 01:45","Belgium (BE)","8037.12","7884.38"
"15/10/2025 01:45 - 15/10/2025 02:00","Belgium (BE)","7923.26","7860.27"
"15/10/2025 02:00 - 15/10/2025 02:15","Belgium (BE)","7857.35","7650.63"
"15/10/2025 02:15 - 15/10/2025 02:30","Belgium (BE)","7833.57","7653.93"
"15/10/2025 02:30 - 15/10/2025 02:45","Belgium (BE)","7868.26","7644.66"
"15/10/2025 02:45 - 15/10/2025 03:00","Belgium (BE)","7866.39","7657.47"
"15/10/2025 03:00 - 15/10/2025 03:15","Belgium (BE)","7761.86","7685.76"
"15/10/2025 03:15 - 15/10/2025 03:30","Belgium (BE)","7702.90","7657.74"
"15/10/2025 03:30 - 15/10/2025 03:45","Belgium (BE)","7725.74","7646.17"
"15/10/2025 03:45 - 15/10/2025 04:00","Belgium (BE)","7818.95","7645.74"
"15/10/2025 04:00 - 15/10/2025 04:15","Belgium (BE)","7764.29","7711.70"
"15/10/2025 04:15 - 15/10/2025 04:30","Belgium (BE)","7926.63","7728.49"
"15/10/2025 04:30 - 15/10/2025 04:45","Belgium (BE)","8058.73","7720.77"
"15/10/2025 04:45 - 15/10/2025 05:00","Belgium (BE)","8056.92","7772.32"
"15/10/2025 05:00 - 15/10/2025 05:15","Belgium (BE)","7982.07","7900.64"
"15/10/2025 05:15 - 15/10/2025 05:30","Belgium (BE)","7919.26","7924.68"
"15/10/2025 05:30 - 15/10/2025 05:45","Belgium (BE)","8078.77","8011.90"
"15/10/2025 05:45 - 15/10/2025 06:00","Belgium (BE)","8322.40","8137.72"
"15/10/2025 06:00 - 15/10/2025 06:15","Belgium (BE)","8465.17","8588.18"
"15/10/2025 06:15 - 15/10/2025 06:30","Belgium (BE)","8629.64","8846.50"
"15/10/2025 06:30 - 15/10/2025 06:45","Belgium (BE)","8811.24","9040.82"
"15/10/2025 06:45 - 15/10/2025 07:00","Belgium (BE)","9108.68","9294.16"
"15/10/2025 07:00 - 15/10/2025 07:15","Belgium (BE)","9476.15","9707.09"
