"MTU (CET/CEST)","Area","Actual Total Load (MW)","Day-ahead Total Load Forecast (MW)"
"17/10/2025 03:45 - 17/10/2025 04:00","Belgium (BE)","7870.41","7749.58"
"17/10/2025 04:00 - 17/10/2025 04:15","Belgium (BE)","7879.09","7812.08"
"17/10/2025 04:15 - 17/10/2025 04:30","Belgium (BE)","7861.86","7846.63"
"17/10/2025 04:30 - 17/10/2025 04:45","Belgium (BE)","7668.00","7866.55"
"17/10/2025 04:45 - 17/10/2025 05:00","Belgium (BE)","7740.26","7907.49"
"17/10/2025 05:00 - 17/10/2025 05:15","Belgium (BE)","8139.67","8081.23"
"17/10/2025 05:15 - 17/10/2025 05:30","Belgium (BE)","8164.59","8101.64"
"17/10/2025 05:30 - 17/10/2025 05:45","Belgium (BE)","8274.71","8188.33"
"17/10/2025 05:45 - 17/10/2025 06:00","Belgium (BE)","8487.71","8335.46"
"17/10/2025 06:00 - 17/10/2025 06:15","Belgium (BE)","8925.24","8760.75"
"17/10/2025 06:15 - 17/10/2025 06:30","Belgium (BE)","8999.26","8999.14"
"17/10/2025 06:30 - 17/10/2025 06:45","Belgium (BE)","9271.32","9197.13"
"17/10/2025 06:45 - 17/10/2025 07:00","Belgium (BE)","9574.51","9457.54"
"17/10/2025 07:00 - 17/10/2025 07:15","Belgium (BE)","9881.52","9861.26"
"17/10/2025 07:15 - 17/10/2025 07:30","Belgium (BE)","10075.84","10074.58"
"17/10/2025 07:30 - 17/10/2025 07:45","Belgium (BE)","10194.33","10264.19"
"17/10/2025 07:45 - 17/10/2025 08:00","Belgium (BE)","10370.67","10398.28"
"17/10/2025 08:00 - 17/10/2025 08:15","Belgium (BE)","10543.95","10313.09"
"17/10/2025 08:15 - 17/10/2025 08:30","Belgium (BE)","10547.23","10463.51"
"17/10/2025 08:30 - 17/10/2025 08:45","Belgium (BE)","10674.79","10638.73"
"17/10/2025 08:45 - 17/10/2025 09:00","Belgium (BE)","10803.59","10788.94"
"17/10/2025 09:00 - 17/10/2025 09:15","Belgium (BE)","10818.84","10653.51"
"17/10/2025 09:15 - 17/10/2025 09:30","Belgium (BE)","10969.25","10762.58"
"17/10/2025 09:30 - 17/10/2025 09:45","Belgium (BE)","10996.55","10869.13"
"17/10/2025 09:45 - 17/10/2025 10:00","Belgium (BE)","10993.05","10935.32"
"17/10/2025 10:00 - 17/10/2025 10:15","Belgium (BE)","10939.03","10801.60"
"17/10/2025 10:15 - 17/10/2025 10:30","Belgium (BE)","10945.96","10827.88"
"17/10/2025 10:30 - 17/10/2025 10:45","Belgium (BE)","11123.70","10892.44"
"17/10/2025 10:45 - 17/10/2025 11:00","Belgium (BE)","11168.76","11009.88"
"17/10/2025 11:00 - 17/10/2025 11:15","Belgium (BE)","11113.73","10860.20"
"17/10/2025 11:15 - 17/10/2025 11:30","Belgium (BE)","11205.58","10866.07"
"17/10/2025 11:30 - 17/10/2025 11:45","Belgium (BE)","11235.22","10954.11"
"17/10/2025 11:45 - 17/10/2025 12:00","Belgium (BE)","11299.63","11027.59"
"17/10/2025 12:00 - 17/10/2025 12:15","Belgium (BE)","11078.49","10736.45"
"17/10/2025 12:15 - 17/10/2025 12:30","Belgium (BE)","10856.49","10668.39"
"17/10/2025 12:30 - 17/10/2025 12:45","Belgium (BE)","10991.89","10677.70"
"17/10/2025 12:45 - 17/10/2025 13:00","Belgium (BE)","11065.44","10702.63"
"17/10/2025 13:00 - 17/10/2025 13:15","Belgium (BE)","10975.38","10618.25"
"17/10/2025 13:15 - 17/10/2025 13:30","Belgium (BE)","10782.71","10588.72"
"17/10/2025 13:30 - 17/10/2025 13:45","Belgium (BE)","10740.48","10580.93"
"17/10/2025 13:45 - 17/10/2025 14:00","Belgium (BE)","10511.56","10487.37"
"17/10/2025 14:00 - 17/10/2025 14:15","Belgium (BE)","10242.95","10393.74"
"17/10/2025 14:15 - 17/10/2025 14:30","Belgium (BE)","10375.86","10377.88"
"17/10/2025 14:30 - 17/10/2025 14:45","Belgium (BE)","10289.72","10301.76"
"17/10/2025 14:45 - 17/10/2025 15:00","Belgium (BE)","10224.45","10156.74"
"17/10/2025 15:00 - 17/10/2025 15:15","Belgium (BE)","10456.56","10293.27"
"17/10/2025 15:15 - 17/10/2025 15:30","Belgium (BE)","10350.90","10185.32"
"17/10/2025 15:30 - 17/10/2025 15:45","Belgium (BE)","10303.42","10068.49"
"17/10/2025 15:45 - 17/10/2025 16:00","Belgium (BE)","10342.45","9942.81"
"17/10/2025 16:00 - 17/10/2025 16:15","Belgium (BE)","10313.44","10079.57"
"17/10/2025 16:15 - 17/10/2025 16:30","Belgium (BE)","10433.83","9948.77"
"17/10/2025 16:30 - 17/10/2025 16:45","Belgium (BE)","10172.14","9930.78"
"17/10/2025 16:45 - 17/10/2025 17:00","Belgium (BE)","10058.16","9920.31"
"17/10/2025 17:00 - 17/10/2025 17:15","Belgium (BE)","10277.85","10083.99"
"17/10/2025 17:15 - 17/10/2025 17:30","Belgium (BE)","10212.16","10023.13"
"17/10/2025 17:30 - 17/10/2025 17:45","Belgium (BE)","10223.96","10024.85"
"17/10/2025 17:45 - 17/10/2025 18:00","Belgium (BE)","10118.20","10068.41"
"17/10/2025 18:00 - 17/10/2025 18:15","Belgium (BE)","9976.67","10132.74"
"17/10/2025 18:15 - 17/10/2025 18:30","Belgium (BE)","10041.79","10144.38"
"17/10/2025 18:30 - 17/10/2025 18:45","Belgium (BE)","10160.57","10143.49"
"17/10/2025 18:45 - 17/10/2025 19:00","Belgium (BE)","10339.71","10122.93"
"17/10/2025 19:00 - 17/10/2025 19:15","Belgium (BE)","10320.12","10077.67"
"17/10/2025 19:15 - 17/10/2025 19:30","Belgium (BE)","10158.94","10059.97"
"17/10/2025 19:30 - 17/10/2025 19:45","Belgium (BE)","10047.61","10040.41"
"17/10/2025 19:45 - 17/10/2025 20:00","Belgium (BE)","9995.71","9990.93"
"17/10/2025 20:00 - 17/10/2025 20:15","Belgium (BE)","9878.55","9786.34"
"17/10/2025 20:15 - 17/10/2025 20:30","Belgium (BE)","9833.04","9655.20"
"17/10/2025 20:30 - 17/10/2025 20:45","Belgium (BE)","9708.95","9579.84"
"17/10/2025 20:45 - 17/10/2025 21:00","Belgium (BE)","9823.28","9534.91"
"17/10/2025 21:00 - 17/10/2025 21:15","Belgium (BE)","9573.88","9322.82"
"17/10/2025 21:15 - 17/10/2025 21:30","Belgium (BE)","9441.90","9206.87"
"17/10/2025 21:30 - 17/10/2025 21:45","Belgium (BE)","9413.96","9096.81"
"17/10/2025 21:45 - 17/10/2025 22:00","Belgium (BE)","9325.23","9056.52"
"17/10/2025 22:00 - 17/10/2025 22:15","Belgium (BE)","9182.16","8905.48"
"17/10/2025 22:15 - 17/10/2025 22:30","Belgium (BE)","9004.12","8889.92"
"17/10/2025 22:30 - 17/10/2025 22:45","Belgium (BE)","9053.76","8787.41"
"17/10/2025 22:45 - 17/10/2025 23:00","Belgium (BE)","8974.11","8697.10"
"17/10/2025 23:00 - 17/10/2025 23:15","Belgium (BE)","8966.61","8572.08"
"17/10/2025 23:15 - 17/10/2025 23:30","Belgium (BE)","8866.04","8439.49"
"17/10/2025 23:30 - 17/10/2025 23:45","Belgium (BE)","8713.17","8355.44"
"17/10/2025 23:45 - 18/10/2025 00:00","Belgium (BE)","8638.38","8298.34"
"18/10/2025 00:00 - 18/10/2025 00:15","Belgium (BE)","8552.72","8076.83"
"18/10/2025 00:15 - 18/10/2025 00:30","Belgium (BE)","8385.54","7942.10"
"18/10/2025 00:30 - 18/10/2025 00:45","Belgium (BE)","8225.97","7900.42"
"18/10/2025 00:45 - 18/10/2025 01:00","Belgium (BE)","8193.87","7874.28"
"18/10/2025 01:00 - 18/10/2025 01:15","Belgium (BE)","7928.14","7732.98"
"18/10/2025 01:15 - 18/10/2025 01:30","Belgium (BE)","7997.84","7651.00"
"18/10/2025 01:30 - 18/10/2025 01:45","Belgium (BE)","7879.90","7609.83"
"18/10/2025 01:45 - 18/10/2025 02:00","Belgium (BE)","7871.64","7588.88"
"18/10/2025 02:00 - 18/10/2025 02:15","Belgium (BE)","7740.79","7449.15"
"18/10/2025 02:15 - 18/10/2025 02:30","Belgium (BE)","7619.01","7444.27"
"18/10/2025 02:30 - 18/10/2025 02:45","Belgium (BE)","7536.30","7483.87"
"18/10/2025 02:45 - 18/10/2025 03:00","Belgium (BE)","7587.26","7480.34"
"18/10/2025 03:00 - 18/10/2025 03:15","Belgium (BE)","7629.04","7386.28"
"18/10/2025 03:15 - 18/10/2025 03:30","Belgium (BE)","7539.03","7447.40"
"18/10/2025 03:30 - 18/10/2025 03:45","Belgium (BE)","7461.40","7374.67"
"18/10/2025 03:45 - 18/10/2025 04:00","Belgium (BE)","7436.67","7334.95"
"18/10/2025 04:00 - 18/10/2025 04:15","Belgium (BE)","7575.90","7186.04"
"18/10/2025 04:15 - 18/10/2025 04:30","Belgium (BE)","7637.05","7196.75"
"18/10/2025 04:30 - 18/10/2025 04:45","Belgium (BE)","7641.66","7151.04"
"18/10/2025 04:45 - 18/10/2025 05:00","Belgium (BE)","7628.01","7180.89"
"18/10/2025 05:00 - 18/10/2025 05:15","Belgium (BE)","7717.93","7132.57"
"18/10/2025 05:15 - 18/10/2025 05:30","Belgium (BE)","7732.47","7162.21"
"18/10/2025 05:30 - 18/10/2025 05:45","Belgium (BE)","7637.15","7194.94"
"18/10/2025 05:45 - 18/10/2025 06:00","Belgium (BE)","7744.28","7130.18"
"18/10/2025 06:00 - 18/10/2025 06:15","Belgium (BE)","7783.38","7320.54"
"18/10/2025 06:15 - 18/10/2025 06:30","Belgium (BE)","7844.61","7358.69"
"18/10/2025 06:30 - 18/10/2025 06:45","Belgium (BE)","7776.73","7442.19"
"18/10/2025 06:45 - 18/10/2025 07:00","Belgium (BE)","7841.41","7585.15"
"18/10/2025 07:00 - 18/10/2025 07:15","Belgium (BE)","8080.16","7723.40"
"18/10/2025 07:15 - 18/10/2025 07:30","Belgium (BE)","8234.82","7796.61"
"18/10/2025 07:30 - 18/10/2025 07:45","Belgium (BE)","8280.16","7871.51"
"18/10/2025 07:45 - 18/10/2025 08:00","Belgium (BE)","8354.91","7997.87"
"18/10/2025 08:00 - 18/10/2025 08:15","Belgium (BE)","8496.29","8074.57"
"18/10/2025 08:15 - 18/10/2025 08:30","Belgium (BE)","8571.24","8228.46"
"18/10/2025 08:30 - 18/10/2025 08:45","Belgium (BE)","8717.81","8394.89"
"18/10/2025 08:45 - 18/10/2025 09:00","Belgium (BE)","8846.65","8562.24"
"18/10/2025 09:00 - 18/10/2025 09:15","Belgium (BE)","8969.21","8640.32"
"18/10/2025 09:15 - 18/10/2025 09:30","Belgium (BE)","9152.10","8774.91"
"18/10/2025 09:30 - 18/10/2025 09:45","Belgium (BE)","9271.87","8841.87"
"18/10/2025 09:45 - 18/10/2025 10:00","Belgium (BE)","9409.78","8951.33"
"18/10/2025 10:00 - 18/10/2025 10:15","Belgium (BE)","9290.52","9031.17"
"18/10/2025 10:15 - 18/10/2025 10:30","Belgium (BE)","9273.49","9066.05"
"18/10/2025 10:30 - 18/10/2025 10:45","Belgium (BE)","9363.09","9227.28"
"18/10/2025 10:45 - 18/10/2025 11:00","Belgium (BE)","9502.13","9406.10"
"18/10/2025 11:00 - 18/10/2025 11:15","Belgium (BE)","9327.63","9200.64"
"18/10/2025 11:15 - 18/10/2025 11:30","Belgium (BE)","9293.87","9337.48"
"18/10/2025 11:30 - 18/10/2025 11:45","Belgium (BE)","9427.97","9596.96"
"18/10/2025 11:45 - 18/10/2025 12:00","Belgium (BE)","9504.71","9689.38"
"18/10/2025 12:00 - 18/10/2025 12:15","Belgium (BE)","9414.70","9669.53"
"18/10/2025 12:15 - 18/10/2025 12:30","Belgium (BE)","9489.13","9720.31"
"18/10/2025 12:30 - 18/10/2025 12:45","Belgium (BE)","9575.80","9742.01"
"18/10/2025 12:45 - 18/10/2025 13:00","Belgium (BE)","9772.75","9843.27"
"18/10/2025 13:00 - 18/10/2025 13:15","Belgium (BE)","9424.10","9742.66"
"18/10/2025 13:15 - 18/10/2025 13:30","Belgium (BE)","9345.11","9744.79"
"18/10/2025 13:30 - 18/10/2025 13:45","Belgium (BE)","9241.18","9628.63"
"18/10/2025 13:45 - 18/10/2025 14:00","Belgium (BE)","9078.43","9510.81"
"18/10/2025 14:00 - 18/10/2025 14:15","Belgium (BE)","9226.89","9298.02"
"18/10/2025 14:15 - 18/10/2025 14:30","Belgium (BE)","9232.92","9216.49"
"18/10/2025 14:30 - 18/10/2025 14:45","Belgium (BE)","9301.89","9123.24"
"18/10/2025 14:45 - 18/10/2025 15:00","Belgium (BE)","9178.89","9081.31"
"18/10/2025 15:00 - 18/10/2025 15:15","Belgium (BE)","9120.93","9162.73"
"18/10/2025 15:15 - 18/10/2025 15:30","Belgium (BE)","9174.38","9077.50"
"18/10/2025 15:30 - 18/10/2025 15:45","Belgium (BE)","9159.72","8957.38"
"18/10/2025 15:45 - 18/10/2025 16:00","Belgium (BE)","8946.54","8820.02"
"18/10/2025 16:00 - 18/10/2025 16:15","Belgium (BE)","9064.98","8910.22"
"18/10/2025 16:15 - 18/10/2025 16:30","Belgium (BE)","8946.97","8779.70"
"18/10/2025 16:30 - 18/10/2025 16:45","Belgium (BE)","9073.53","8695.58"
"18/10/2025 16:45 - 18/10/2025 17:00","Belgium (BE)","9064.68","8510.69"
"18/10/2025 17:00 - 18/10/2025 17:15","Belgium (BE)","9121.12","8730.29"
"18/10/2025 17:15 - 18/10/2025 17:30","Belgium (BE)","9222.27","8738.03"
"18/10/2025 17:30 - 18/10/2025 17:45","Belgium (BE)","9190.35","8806.86"
"18/10/2025 17:45 - 18/10/2025 18:00","Belgium (BE)","9177.23","8745.93"
"18/10/2025 18:00 - 18/10/2025 18:15","Belgium (BE)","9252.37","9028.65"
"18/10/2025 18:15 - 18/10/2025 18:30","Belgium (BE)","9301.51","8943.10"
"18/10/2025 18:30 - 18/10/2025 18:45","Belgium (BE)","9379.00","8934.26"
"18/10/2025 18:45 - 18/10/2025 19:00","Belgium (BE)","9469.92","8929.99"
"18/10/2025 19:00 - 18/10/2025 19:15","Belgium (BE)","9498.95","9003.38"
"18/10/2025 19:15 - 18/10/2025 19:30","Belgium (BE)","9359.35","8973.42"
"18/10/2025 19:30 - 18/10/2025 19:45","Belgium (BE)","9289.81","8935.95"
"18/10/2025 19:45 - 18/10/2025 20:00","Belgium (BE)","9237.25","8930.25"
"18/10/2025 20:00 - 18/10/2025 20:15","Belgium (BE)","9194.86","8722.84"
"18/10/2025 20:15 - 18/10/2025 20:30","Belgium (BE)","9076.78","8666.01"
"18/10/2025 20:30 - 18/10/2025 20:45","Belgium (BE)","9013.32","8596.82"
"18/10/2025 20:45 - 18/10/2025 21:00","Belgium (BE)","8945.03","8523.01"
"18/10/2025 21:00 - 18/10/2025 21:15","Belgium (BE)","8728.90","8335.55"
"18/10/2025 21:15 - 18/10/2025 21:30","Belgium (BE)","8762.77","8243.11"
"18/10/2025 21:30 - 18/10/2025 21:45","Belgium (BE)","8637.08","8208.76"
"18/10/2025 21:45 - 18/10/2025 22:00","Belgium (BE)","8628.23","8173.10"
"18/10/2025 22:00 - 18/10/2025 22:15","Belgium (BE)","8326.23","8085.05"
"18/10/2025 22:15 - 18/10/2025 22:30","Belgium (BE)","8368.16","8066.51"
"18/10/2025 22:30 - 18/10/2025 22:45","Belgium (BE)","8327.06","8030.07"
"18/10/2025 22:45 - 18/10/2025 23:00","Belgium (BE)","8314.62","7965.58"
"18/10/2025 23:00 - 18/10/2025 23:15","Belgium (BE)","8184.12","7847.91"
"18/10/2025 23:15 - 18/10/2025 23:30","Belgium (BE)","8141.48","7740.00"
"18/10/2025 23:30 - 18/10/2025 23:45","Belgium (BE)","8074.61","7658.36"
"18/10/2025 23:45 - 19/10/2025 00:00","Belgium (BE)","7966.66","7650.10"
"19/10/2025 00:00 - 19/10/2025 00:15","Belgium (BE)","7948.12","7665.31"
"19/10/2025 00:15 - 19/10/2025 00:30","Belgium (BE)","7662.49","7533.24"
"19/10/2025 00:30 - 19/10/2025 00:45","Belgium (BE)","7513.70","7391.75"
"19/10/2025 00:45 - 19/10/2025 01:00","Belgium (BE)","7470.71","7436.07"
"19/10/2025 01:00 - 19/10/2025 01:15","Belgium (BE)","7312.73","7254.30"
"19/10/2025 01:15 - 19/10/2025 01:30","Belgium (BE)","7296.99","7225.32"
"19/10/2025 01:30 - 19/10/2025 01:45","Belgium (BE)","7218.06","7138.85"
"19/10/2025 01:45 - 19/10/2025 02:00","Belgium (BE)","7061.86","7158.25"
"19/10/2025 02:00 - 19/10/2025 02:15","Belgium (BE)","7083.10","7118.13"
"19/10/2025 02:15 - 19/10/2025 02:30","Belgium (BE)","7000.15","7120.44"
"19/10/2025 02:30 - 19/10/2025 02:45","Belgium (BE)","6950.19","7093.65"
"19/10/2025 02:45 - 19/10/2025 03:00","Belgium (BE)","7041.21","7021.99"
"19/10/2025 03:00 - 19/10/2025 03:15","Belgium (BE)","7093.75","6866.73"
"19/10/2025 03:15 - 19/10/2025 03:30","Belgium (BE)","7005.84","6863.35"
"19/10/2025 03:30 - 19/10/2025 03:45","Belgium (BE)","7197.62","6855.06"
"19/10/2025 03:45 - 19/10/2025 04:00","Belgium (BE)","7086.53","6855.74"
"19/10/2025 04:00 - 19/10/2025 04:15","Belgium (BE)","7092.19","6856.14"
"19/10/2025 04:15 - 19/10/2025 04:30","Belgium (BE)","7103.00","6847.49"
"19/10/2025 04:30 - 19/10/2025 04:45","Belgium (BE)","7012.92","6826.70"
"19/10/2025 04:45 - 19/10/2025 05:00","Belgium (BE)","7133.44","6801.91"
"19/10/2025 05:00 - 19/10/2025 05:15","Belgium (BE)","7083.82","6831.98"
"19/10/2025 05:15 - 19/10/2025 05:30","Belgium (BE)","7107.51","6875.44"
"19/10/2025 05:30 - 19/10/2025 05:45","Belgium (BE)","7123.73","6893.28"
"19/10/2025 05:45 - 19/10/2025 06:00","Belgium (BE)","7195.75","6950.20"
"19/10/2025 06:00 - 19/10/2025 06:15","Belgium (BE)","7225.28","7099.91"
"19/10/2025 06:15 - 19/10/2025 06:30","Belgium (BE)","7472.64","7097.92"
"19/10/2025 06:30 - 19/10/2025 06:45","Belgium (BE)","7441.42","7173.67"
"19/10/2025 06:45 - 19/10/2025 07:00","Belgium (BE)","7359.01","7189.66"
"19/10/2025 07:00 - 19/10/2025 07:15","Belgium (BE)","7331.04","7303.52"
"19/10/2025 07:15 - 19/10/2025 07:30","Belgium (BE)","7367.00","7424.56"
"19/10/2025 07:30 - 19/10/2025 07:45","Belgium (BE)","7532.53","7457.74"
"19/10/2025 07:45 - 19/10/2025 08:00","Belgium (BE)","7639.27","7513.20"
"19/10/2025 08:00 - 19/10/2025 08:15","Belgium (BE)","7761.57","7508.58"
"19/10/2025 08:15 - 19/10/2025 08:30","Belgium (BE)","7857.78","7639.51"
"19/10/2025 08:30 - 19/10/2025 08:45","Belgium (BE)","8097.75","7880.76"
"19/10/2025 08:45 - 19/10/2025 09:00","Belgium (BE)","8308.05","8160.48"
"19/10/2025 09:00 - 19/10/2025 09:15","Belgium (BE)","8280.57","8022.26"
"19/10/2025 09:15 - 19/10/2025 09:30","Belgium (BE)","8279.31","8146.04"
"19/10/2025 09:30 - 19/10/2025 09:45","Belgium (BE)","8399.39","8437.12"
"19/10/2025 09:45 - 19/10/2025 10:00","Belgium (BE)","8691.76","8612.23"
"19/10/2025 10:00 - 19/10/2025 10:15","Belgium (BE)","8507.77","8514.43"
"19/10/2025 10:15 - 19/10/2025 10:30","Belgium (BE)","8710.26","8615.54"
"19/10/2025 10:30 - 19/10/2025 10:45","Belgium (BE)","8739.88","8704.26"
"19/10/2025 10:45 - 19/10/2025 11:00","Belgium (BE)","8945.83","8806.49"
"19/10/2025 11:00 - 19/10/2025 11:15","Belgium (BE)","8723.33","8929.05"
"19/10/2025 11:15 - 19/10/2025 11:30","Belgium (BE)","8841.98","9064.20"
"19/10/2025 11:30 - 19/10/2025 11:45","Belgium (BE)","9112.82","9248.45"
"19/10/2025 11:45 - 19/10/2025 12:00","Belgium (BE)","9239.30","9380.69"
"19/10/2025 12:00 - 19/10/2025 12:15","Belgium (BE)","9503.98","9348.38"
"19/10/2025 12:15 - 19/10/2025 12:30","Belgium (BE)","9740.43","9373.12"
"19/10/2025 12:30 - 19/10/2025 12:45","Belgium (BE)","10155.00","9334.15"
"19/10/2025 12:45 - 19/10/2025 13:00","Belgium (BE)","10203.01","9329.01"
"19/10/2025 13:00 - 19/10/2025 13:15","Belgium (BE)","10398.36","9328.84"
"19/10/2025 13:15 - 19/10/2025 13:30","Belgium (BE)","10288.85","9261.92"
"19/10/2025 13:30 - 19/10/2025 13:45","Belgium (BE)","10127.65","9230.47"
"19/10/2025 13:45 - 19/10/2025 14:00","Belgium (BE)","9917.55","9253.92"
"19/10/2025 14:00 - 19/10/2025 14:15","Belgium (BE)","9601.22","9164.76"
"19/10/2025 14:15 - 19/10/2025 14:30","Belgium (BE)","9234.81","9094.52"
"19/10/2025 14:30 - 19/10/2025 14:45","Belgium (BE)","8863.65","9018.97"
"19/10/2025 14:45 - 19/10/2025 15:00","Belgium (BE)","8556.60","8908.08"
"19/10/2025 15:00 - 19/10/2025 15:15","Belgium (BE)","8497.74","8798.85"
"19/10/2025 15:15 - 19/10/2025 15:30","Belgium (BE)","8437.71","8712.32"
"19/10/2025 15:30 - 19/10/2025 15:45","Belgium (BE)","8464.09","8449.90"
"19/10/2025 15:45 - 19/10/2025 16:00","Belgium (BE)","8447.33","8386.09"
"19/10/2025 16:00 - 19/10/2025 16:15","Belgium (BE)","8745.56","8304.90"
"19/10/2025 16:15 - 19/10/2025 16:30","Belgium (BE)","8842.34","8356.73"
"19/10/2025 16:30 - 19/10/2025 16:45","Belgium (BE)","8707.97","8270.79"
"19/10/2025 16:45 - 19/10/2025 17:00","Belgium (BE)","8831.17","8201.63"
"19/10/2025 17:00 - 19/10/2025 17:15","Belgium (BE)","8847.69","8432.05"
"19/10/2025 17:15 - 19/10/2025 17:30","Belgium (BE)","9028.55","8425.85"
"19/10/2025 17:30 - 19/10/2025 17:45","Belgium (BE)","9162.59","8532.67"
"19/10/2025 17:45 - 19/10/2025 18:00","Belgium (BE)","9234.07","8649.06"
"19/10/2025 18:00 - 19/10/2025 18:15","Belgium (BE)","9191.26","8790.38"
"19/10/2025 18:15 - 19/10/2025 18:30","Belgium (BE)","9373.11","8904.70"
"19/10/2025 18:30 - 19/10/2025 18:45","Belgium (BE)","9613.66","8922.17"
"19/10/2025 18:45 - 19/10/2025 19:00","Belgium (BE)","9519.97","8938.66"
"19/10/2025 19:00 - 19/10/2025 19:15","Belgium (BE)","9518.60","9097.70"
"19/10/2025 19:15 - 19/10/2025 19:30","Belgium (BE)","9442.04","9129.51"
"19/10/2025 19:30 - 19/10/2025 19:45","Belgium (BE)","9382.34","9125.60"
"19/10/2025 19:45 - 19/10/2025 20:00","Belgium (BE)","9330.31","9138.69"
"19/10/2025 20:00 - 19/10/2025 20:15","Belgium (BE)","9185.45","9060.73"
"19/10/2025 20:15 - 19/10/2025 20:30","Belgium (BE)","9066.59","8973.14"
"19/10/2025 20:30 - 19/10/2025 20:45","Belgium (BE)","8951.06","8878.41"
"19/10/2025 20:45 - 19/10/2025 21:00","Belgium (BE)","8882.95","8780.85"
"19/10/2025 21:00 - 19/10/2025 21:15","Belgium (BE)","8892.68","8637.68"
"19/10/2025 21:15 - 19/10/2025 21:30","Belgium (BE)","8890.23","8507.71"
"19/10/2025 21:30 - 19/10/2025 21:45","Belgium (BE)","8685.64","8386.69"
"19/10/2025 21:45 - 19/10/2025 22:00","Belgium (BE)","8755.57","8315.94"
"19/10/2025 22:00 - 19/10/2025 22:15","Belgium (BE)","8483.37","8197.55"
"19/10/2025 22:15 - 19/10/2025 22:30","Belgium (BE)","8473.90","8174.72"
"19/10/2025 22:30 - 19/10/2025 22:45","Belgium (BE)","8464.06","8134.27"
"19/10/2025 22:45 - 19/10/2025 23:00","Belgium (BE)","8315.85","8074.90"
"19/10/2025 23:00 - 19/10/2025 23:15","Belgium (BE)","8422.61","7978.34"
"19/10/2025 23:15 - 19/10/2025 23:30","Belgium (BE)","8286.44","7916.38"
"19/10/2025 23:30 - 19/10/2025 23:45","Belgium (BE)","8101.45","7798.27"
"19/10/2025 23:45 - 20/10/2025 00:00","Belgium (BE)","7974.63","7778.82"
"20/10/2025 00:00 - 20/10/2025 00:15","Belgium (BE)","7664.63","7640.88"
"20/10/2025 00:15 - 20/10/2025 00:30","Belgium (BE)","7528.56","7507.68"
"20/10/2025 00:30 - 20/10/2025 00:45","Belgium (BE)","7546.66","7465.22"
"20/10/2025 00:45 - 20/10/2025 01:00","Belgium (BE)","7533.20","7432.16"
"20/10/2025 01:00 - 20/10/2025 01:15","Belgium (BE)","7383.25","7269.76"
"20/10/2025 01:15 - 20/10/2025 01:30","Belgium (BE)","7469.37","7168.42"
"20/10/2025 01:30 - 20/10/2025 01:45","Belgium (BE)","7381.26","7166.92"
"20/10/2025 01:45 - 20/10/2025 02:00","Belgium (BE)","7334.54","7155.75"
"20/10/2025 02:00 - 20/10/2025 02:15","Belgium (BE)","7351.86","7085.72"
"20/10/2025 02:15 - 20/10/2025 02:30","Belgium (BE)","7265.09","7139.54"
"20/10/2025 02:30 - 20/10/2025 02:45","Belgium (BE)","7233.54","7087.81"
"20/10/2025 02:45 - 20/10/2025 03:00","Belgium (BE)","7211.03","7066.14"
"20/10/2025 03:00 - 20/10/2025 03:15","Belgium (BE)","7147.89","7048.62"
"20/10/2025 03:15 - 20/10/2025 03:30","Belgium (BE)","7067.94","7011.31"
"20/10/2025 03:30 - 20/10/2025 03:45","Belgium (BE)","7084.78","7056.56"
"20/10/2025 03:45 - 20/10/2025 04:00","Belgium (BE)","7049.22","7106.26"
"20/10/2025 04:00 - 20/10/2025 04:15","Belgium (BE)","7008.39","7277.97"
"20/10/2025 04:15 - 20/10/2025 04:30","Belgium (BE)","7107.38","7315.45"
"20/10/2025 04:30 - 20/10/2025 04:45","Belgium (BE)","7055.11","7279.60"
"20/10/2025 04:45 - 20/10/2025 05:00","Belgium (BE)","7112.01","7193.42"
"20/10/2025 05:00 - 20/10/2025 05:15","Belgium (BE)","7224.79","7533.46"
"20/10/2025 05:15 - 20/10/2025 05:30","Belgium (BE)","7287.11","7619.60"
"20/10/2025 05:30 - 20/10/2025 05:45","Belgium (BE)","7455.65","7762.43"
"20/10/2025 05:45 - 20/10/2025 06:00","Belgium (BE)","7677.87","7833.48"
"20/10/2025 06:00 - 20/10/2025 06:15","Belgium (BE)","8150.01","8378.28"
"20/10/2025 06:15 - 20/10/2025 06:30","Belgium (BE)","8343.63","8536.26"
"20/10/2025 06:30 - 20/10/2025 06:45","Belgium (BE)","8696.32","8789.87"
"20/10/2025 06:45 - 20/10/2025 07:00","Belgium (BE)","8853.71","9094.06"
"20/10/2025 07:00 - 20/10/2025 07:15","Belgium (BE)","9320.61","9549.19"
"20/10/2025 07:15 - 20/10/2025 07:30","Belgium (BE)","9546.94","9784.72"
"20/10/2025 07:30 - 20/10/2025 07:45","Belgium (BE)","9879.93","9900.42"
"20/10/2025 07:45 - 20/10/2025 08:00","Belgium (BE)","9973.35","9973.33"
"20/10/2025 08:00 - 20/10/2025 08:15","Belgium (BE)","10044.60","9965.36"
"20/10/2025 08:15 - 20/10/2025 08:30","Belgium (BE)","10160.37","10181.65"
"20/10/2025 08:30 - 20/10/2025 08:45","Belgium (BE)","10310.35","10370.05"
"20/10/2025 08:45 - 20/10/2025 09:00","Belgium (BE)","10466.15","10522.15"
"20/10/2025 09:00 - 20/10/2025 09:15","Belgium (BE)","10623.96","10379.09"
